t,Demand
1417,32559.23
1418,31555.07
1419,31124.11
1420,31126.37
1421,31962.03
1422,34019.28
1423,37308.85
1424,39346.99
1425,40282.46
1426,40891.34
1427,41082.01
1428,40811.70
1429,40247.69
1430,39666.97
1431,39101.85
1432,38756.09
1433,39189.05
1434,40224.59
1435,41626.22
1436,42069.37
1437,41500.54
1438,40219.35
1439,38210.18
1440,36280.54
1441,34979.73
1442,34341.41
1443,34208.99
1444,34578.63
1445,35835.41
1446,38437.86
1447,42394.17
1448,43804.91
1449,42814.84
1450,41435.59
1451,39990.64
1452,38731.94
1453,37652.18
1454,36743.47
1455,35998.99
1456,35686.59
1457,35804.29
1458,36064.72
1459,37602.01
1460,39281.29
1461,39260.54
1462,38644.14
1463,37290.09
1464,35910.70
1465,35091.67
1466,34836.10
1467,35025.96
1468,35664.92
1469,37011.31
1470,39784.88
1471,43775.74
1472,45050.26
1473,43272.17
1474,41095.50
1475,39355.12
1476,37910.00
1477,36865.02
1478,36341.15
1479,36077.70
1480,36048.42
1481,36138.15
1482,36290.70
1483,37263.44
1484,38335.33
1485,38072.32
1486,37025.58
1487,35434.61
1488,33656.41
1489,32475.38
1490,31995.17
1491,32006.48
1492,32455.77
1493,33590.93
1494,36033.70
1495,39677.89
1496,40775.89
1497,39912.09
1498,38708.69
1499,37798.80
1500,37355.81
1501,36967.83
1502,36943.25
1503,36950.01
1504,36951.10
1505,37128.52
1506,37111.12
1507,37883.77
1508,38493.34
1509,37772.76
1510,36361.72
1511,34308.92
1512,32440.33
1513,31048.69
1514,30293.93
1515,29859.97
1516,29861.12
1517,30602.74
1518,32496.18
1519,35513.91
1520,36927.74
1521,37356.08
1522,37570.60
1523,37602.43
1524,37637.50
1525,37650.86
1526,37857.89
1527,37978.38
1528,38151.40
1529,38368.78
1530,38245.95
1531,38368.01
1532,38303.23
1533,37348.58
1534,36160.84
1535,34664.69
1536,33188.11
1537,31899.50
1538,31043.74
1539,30723.98
1540,30785.22
1541,31199.06
1542,32339.66
1543,33987.41
1544,35208.46
1545,35916.54
1546,36038.91
1547,35696.07
1548,35189.68
1549,34693.78
1550,34215.43
1551,33829.53
1552,33819.08
1553,33965.36
1554,34155.26
1555,34987.21
1556,36034.23
1557,35763.76
1558,35342.57
1559,34545.85
1560,33637.74
1561,32852.87
1562,32501.19
1563,32395.69
1564,32619.23
1565,33130.40
1566,34150.74
1567,35686.53
1568,36740.61
1569,37019.95
1570,36680.55
1571,35891.39
1572,35151.37
1573,34581.03
1574,33966.26
1575,33670.86
1576,33681.84
1577,34049.37
1578,34545.65
1579,35808.06
1580,37168.27
1581,36999.13
1582,36238.34
1583,34756.62
1584,33218.62
1585,32173.91
1586,31822.24
1587,31934.15
1588,32450.68
1589,33604.50
1590,35968.10
1591,39267.89
1592,40680.08
1593,40184.27
1594,39415.57
1595,38678.19
1596,38103.46
1597,37748.15
1598,37532.98
1599,37380.55
1600,37250.75
1601,37194.98
1602,37444.44
1603,38362.40
1604,39084.70
1605,38486.69
1606,37115.78
1607,35021.82
1608,32901.77
1609,31418.92
