t,Wind,Solar,Geothermal,Biomass
294,0.740712,0,1,0.832683541
295,0.804476,0,1,0.832357646
296,0.831544,0,1,0.830978087
297,0.82776,0.525668,1,0.828828775
298,0.834448,0.64614,1,0.826323576
299,0.676436,0.650946,1,0.823254559
300,0.756668,0.60879,1,0.821079255
301,0.775956,0.581972,1,0.820133557
302,0.746144,0.596058,1,0.820027591
303,0.7999,0.62985,1,0.820363484
304,0.655188,0.630036,1,0.821137236
305,0.748912,0.511118,1,0.822428823
306,0.627944,0.0894516,1,0.823364523
307,0.545544,0,1,0.824450176
308,0.590292,0,1,0.824792067
309,0.3939696,0,1,0.825019994
310,0.258358,0,1,0.825019994
311,0.1658608,0,1,0.825133957
312,0.0591328,0,1,0.82490603
313,0,0,1,0.824792067
314,0,0,1,0.82490603
315,0.01825332,0,1,0.825133957
316,0.0715668,0,1,0.825131958
317,0.0642888,0,1,0.825131958
318,0.350512,0,1,0.825131958
319,0.3954096,0,1,0.825133957
320,0.3930696,0,1,0.823838372
321,0.49946,0.51883,1,0.821767035
322,0.1695112,0.644386,1,0.819817658
323,0.153422,0.652962,1,0.817528391
324,0.1442992,0.61335,1,0.815672985
325,0.2370632,0.58623,1,0.814579335
326,0.3126952,0.600692,1,0.813909549
327,0.1617916,0.64019,1,0.813667626
328,0.0430908,0.64103,1,0.814043506
329,0.04297,0.54613,1,0.815107166
330,0.2344288,0.1296972,1,0.816104846
331,0.461248,0,1,0.81837612
332,0.834448,0,1,0.819575736
333,0.834448,0,1,0.820045585
334,0.834448,0,1,0.820045585
335,0.834448,0,1,0.81981166
336,0.767624,0,1,0.819339811
337,0.834448,0,1,0.818985925
338,0.834448,0,1,0.819221849
339,0.71202,0,1,0.819339811
340,0.589588,0,1,0.819575736
341,0.5399,0,1,0.81981166
342,0.576864,0,1,0.81981166
343,0.569744,0,1,0.819575736
344,0.610776,0,1,0.818590051
345,0.3188496,0.537382,1,0.817122521
346,0.127308,0.657536,1,0.81556302
347,0.1421212,0.663238,1,0.814055502
348,0.1332888,0.617554,1,0.813079814
349,0.1362932,0.588494,1,0.812537988
350,0.1600296,0.59998,1,0.812388036
351,0.2875172,0.634668,1,0.812533989
352,0.1017892,0.635086,1,0.813261756
353,0.0986528,0.518466,1,0.814851248
354,0.01745788,0.1154976,1,0.815828935
355,0,0,1,0.816904591
356,0,0,1,0.817336452
357,0,0,1,0.817748321
358,0.03220716,0,1,0.818236164
359,0.2083956,0,1,0.818755998
360,0.3278888,0,1,0.81946777
361,0.517644,0,1,0.820055582
362,0.628108,0,1,0.820291507
363,0.722864,0,1,0.820293506
364,0.76256,0,1,0.820293506
365,0.76256,0,1,0.820411468
366,0.713284,0,1,0.820763356
367,0.70796,0,1,0.821349168
368,0.713284,0,1,0.821431142
369,0.648796,0.0962014,1,0.820637396
370,0.61846,0.1239864,1,0.819603727
371,0.48546,0.242544,1,0.818350128
372,0.565576,0.1806402,1,0.817314459
373,0.3875548,0.1944516,1,0.816364763
374,0.188036,0.347018,1,0.815800944
375,0.0704448,0.23443,1,0.815553023
376,0.02821724,0.1897786,1,0.815924904
377,0,0.420908,1,0.817268474
378,0,0.01208852,1,0.81828015
379,0,0,1,0.819677703
380,0.1847812,0,1,0.82056142
381,0.3392636,0,1,0.82146913
382,0.2344144,0,1,0.822510797
383,0.2533304,0,1,0.823316539
384,0.3199768,0,1,0.824022313
385,0.675872,0,1,0.824708093
386,0.7945,0,1,0.825175944
387,0.828648,0,1,0.825525832
388,0.796768,0,1,0.825755758
389,0.834448,0,1,0.825987684
390,0.83224,0,1,0.826321577
391,0.827136,0,1,0.826447537
392,0.792028,0,1,0.826263596
393,0.834448,0.0311254,1,0.825327895
394,0.581184,0.0840994,1,0.823924344
395,0.434256,0.138943,1,0.822088932
396,0.3062416,0.114894,1,0.819891635
397,0.3068068,0.158821,1,0.817866283
398,0.221896,0.202736,1,0.816510717
399,0.1631116,0.1874814,1,0.815980886
400,0.0451128,0.1080324,1,0.816446737
401,0.0909836,0.0528514,1,0.817996241
402,0.025847,0.0590532,1,0.819039907
403,0,0,1,0.820479447
404,0,0,1,0.821083253
405,0,0,1,0.821475128
406,0,0,1,0.82168706
407,0.003329196,0,1,0.821683061
408,0.0943688,0,1,0.821241203
409,0.1559468,0,1,0.82100128
410,0.265224,0,1,0.821101248
411,0.3343048,0,1,0.82121921
412,0.3361728,0,1,0.821221209
413,0.3742844,0,1,0.821105246
414,0.426232,0,1,0.82090531
415,0.645428,0,1,0.820815339
416,0.649032,0,1,0.82096929
417,0.581072,0.00758132,1,0.821103247
418,0.3516596,0.0338088,1,0.821247201
419,0.2706776,0.1161176,1,0.820597409
420,0.3444436,0.1395424,1,0.819663708
421,0.445144,0.1902304,1,0.81893594
422,0.469368,0.157613,1,0.818775992
423,0.45432,0.227564,1,0.819225848
424,0.3116748,0.037577,1,0.820503439
425,0.2734208,0.01004196,1,0.822900672
426,0.2281604,0.0354818,1,0.824454175
427,0.3179088,0,1,0.827517194
428,0.374374,0,1,0.828864763
429,0.3216492,0,1,0.830014395
430,0.3054404,0,1,0.831257997
431,0.3488404,0,1,0.832295665
432,0.2647436,0,1,0.833327335
433,0.1566908,0,1,0.834153071
434,0.532692,0,1,0.834876839
435,0.803628,0,1,0.835496641
436,0.699892,0,1,0.836114443
437,0.599552,0,1,0.836632278
438,0.395268,0,1,0.837150112
439,0.2748804,0,1,0.837555982
440,0.1092136,0,1,0.836570298
441,0.13391,0.0199487,1,0.834107086
442,0.0709912,0.057762,1,0.831471929
443,0.000348146,0.1593772,1,0.829420585
444,0,0.626634,1,0.827789107
445,0,0.607864,1,0.826547505
446,0,0.628156,1,0.825917706
447,0,0.668398,1,0.825901711
448,0,0.68065,1,0.826599488
449,0,0.571614,1,0.829106686
